Pclass,Sex,Age,Survived
3,1,22.0,0
1,0,38.0,1
3,0,26.0,1
1,0,35.0,1
3,1,35.0,0
3,1,27.46576923076923,0
1,1,54.0,0
3,1,2.0,0
3,0,27.0,1
2,0,14.0,1
3,0,4.0,1
1,0,58.0,1
3,1,20.0,0
3,1,39.0,0
3,0,14.0,0
2,0,55.0,1
3,1,2.0,0
2,1,27.46576923076923,1
3,0,31.0,0
3,0,27.46576923076923,1
2,1,35.0,0
2,1,34.0,1
3,0,15.0,1
1,1,28.0,1
3,0,8.0,0
3,0,38.0,1
3,1,27.46576923076923,0
1,1,19.0,0
3,0,27.46576923076923,1
3,1,27.46576923076923,0
1,1,40.0,0
1,0,27.46576923076923,1
3,0,27.46576923076923,1
2,1,66.0,0
1,1,28.0,0
1,1,42.0,0
3,1,27.46576923076923,1
3,1,21.0,0
3,0,18.0,0
3,0,14.0,1
3,0,40.0,0
2,0,27.0,0
3,1,27.46576923076923,0
2,0,3.0,1
3,0,19.0,1
3,1,27.46576923076923,0
3,1,27.46576923076923,0
3,0,27.46576923076923,1
3,1,27.46576923076923,0
3,0,18.0,0
3,1,7.0,0
3,1,21.0,0
1,0,49.0,1
2,0,29.0,1
1,1,65.0,0
1,1,27.46576923076923,1
2,0,21.0,1
3,1,28.5,0
2,0,5.0,1
3,1,11.0,0
3,1,22.0,0
1,0,38.0,1
1,1,45.0,0
3,1,4.0,0
1,1,27.46576923076923,0
3,1,27.46576923076923,1
2,0,29.0,1
3,1,19.0,0
3,0,17.0,1
3,1,26.0,0
2,1,32.0,0
3,0,16.0,0
2,1,21.0,0
3,1,26.0,0
3,1,32.0,1
3,1,25.0,0
3,1,27.46576923076923,0
3,1,27.46576923076923,0
2,1,0.83,1
3,0,30.0,1
3,1,22.0,0
3,1,29.0,1
3,0,27.46576923076923,1
1,1,28.0,0
2,0,17.0,1
3,0,33.0,1
3,1,16.0,0
3,1,27.46576923076923,0
1,0,23.0,1
3,1,24.0,0
3,1,29.0,0
3,1,20.0,0
1,1,46.0,0
3,1,26.0,0
3,1,59.0,0
3,1,27.46576923076923,0
1,1,71.0,0
1,1,23.0,1
2,0,34.0,1
2,1,34.0,0
