,Pclass,Sex,Age,Prediction
0,3,1,34.5,0
1,3,0,47.0,1
2,2,1,62.0,0
3,3,1,27.0,0
4,3,0,22.0,0
5,3,1,14.0,0
6,3,0,30.0,1
7,2,1,26.0,0
8,3,0,18.0,0
9,3,1,21.0,0
10,3,1,30.272590361445786,0
11,1,1,46.0,0
12,1,0,23.0,0
13,2,1,63.0,0
14,1,0,47.0,1
15,2,0,24.0,0
16,2,1,35.0,0
17,3,1,21.0,0
18,3,0,27.0,1
19,3,0,45.0,1
20,1,1,55.0,0
21,3,1,9.0,0
22,1,0,30.272590361445786,1
23,1,1,21.0,0
24,1,0,48.0,1
25,3,1,50.0,0
26,1,0,22.0,1
27,3,1,22.5,0
28,1,1,41.0,0
29,3,1,30.272590361445786,0
30,2,1,50.0,0
31,2,1,24.0,0
32,3,0,33.0,1
33,3,0,30.272590361445786,1
34,1,1,30.0,1
35,3,1,18.5,0
36,3,0,30.272590361445786,1
37,3,0,21.0,0
38,3,1,25.0,0
39,3,1,30.272590361445786,0
40,3,1,39.0,0
41,1,1,30.272590361445786,1
42,3,1,41.0,0
43,2,0,30.0,1
44,1,0,45.0,1
45,3,1,25.0,0
46,1,1,45.0,0
47,3,1,30.272590361445786,0
48,1,0,60.0,1
49,3,0,36.0,1
50,1,1,24.0,1
51,2,1,27.0,0
52,2,0,20.0,1
53,1,0,28.0,1
54,2,1,30.272590361445786,1
55,3,1,10.0,0
56,3,1,35.0,0
57,3,1,25.0,0
58,3,1,30.272590361445786,0
59,1,0,36.0,1
60,3,1,17.0,0
61,2,1,32.0,1
62,3,1,18.0,0
63,3,0,22.0,0
64,1,1,13.0,0
65,2,0,30.272590361445786,1
66,3,0,18.0,0
67,1,1,47.0,0
68,1,1,31.0,1
69,1,0,60.0,1
70,3,0,24.0,0
71,3,1,21.0,0
72,3,0,29.0,1
73,1,1,28.5,1
74,1,0,35.0,1
75,1,1,32.5,1
76,3,1,30.272590361445786,0
77,1,0,55.0,1
78,2,1,30.0,1
79,3,0,24.0,0
80,3,1,6.0,0
81,1,1,67.0,0
82,1,1,49.0,0
83,3,1,30.272590361445786,0
84,2,1,30.272590361445786,1
85,3,1,30.272590361445786,0
86,3,0,27.0,1
87,3,0,18.0,0
88,3,0,30.272590361445786,1
89,2,1,2.0,1
90,3,0,22.0,0
91,3,1,30.272590361445786,0
92,1,0,27.0,0
93,3,1,30.272590361445786,0
94,1,1,25.0,1
95,3,1,25.0,0
96,1,0,76.0,1
97,3,1,29.0,0
98,3,0,20.0,0
99,3,1,33.0,1
100,1,0,43.0,1
101,2,1,27.0,0
102,3,1,30.272590361445786,0
103,3,1,26.0,0
104,3,0,16.0,0
105,3,1,28.0,0
106,3,1,21.0,0
107,3,1,30.272590361445786,0
108,3,1,30.272590361445786,0
109,2,1,18.5,0
110,2,1,41.0,0
111,3,0,30.272590361445786,1
112,1,0,36.0,1
113,3,0,18.5,0
114,1,0,63.0,1
115,3,1,18.0,0
116,3,1,30.272590361445786,0
117,3,0,1.0,0
118,1,1,36.0,0
119,2,0,29.0,1
120,2,0,12.0,1
121,3,1,30.272590361445786,0
122,1,0,35.0,1
123,3,1,28.0,0
124,3,1,30.272590361445786,0
125,3,0,17.0,0
126,3,1,22.0,0
127,3,0,30.272590361445786,1
128,2,1,42.0,0
129,3,1,24.0,0
130,3,1,32.0,1
131,1,1,53.0,0
132,3,0,30.272590361445786,1
133,3,1,30.272590361445786,0
134,3,1,43.0,0
135,3,1,24.0,0
136,3,1,26.5,0
137,2,1,26.0,0
138,3,0,23.0,0
139,3,1,40.0,0
140,3,0,10.0,0
141,1,0,33.0,1
142,1,1,61.0,0
143,2,1,28.0,1
144,1,1,42.0,0
145,3,1,31.0,1
146,1,1,30.272590361445786,1
147,3,1,22.0,0
148,1,1,30.272590361445786,1
149,2,1,30.0,1
150,1,0,23.0,0
151,3,1,30.272590361445786,0
152,3,1,60.5,0
153,3,0,36.0,1
154,3,1,13.0,0
155,3,1,24.0,0
156,1,0,29.0,1
157,3,0,23.0,0
158,1,1,42.0,0
159,3,0,26.0,1
160,3,0,30.272590361445786,1
161,3,1,7.0,0
162,2,0,26.0,0
163,3,1,30.272590361445786,0
164,2,1,41.0,0
165,3,0,26.0,1
166,1,1,48.0,0
167,3,1,18.0,0
168,1,0,30.272590361445786,1
169,3,0,22.0,0
170,3,1,30.272590361445786,0
171,3,1,27.0,0
172,3,1,23.0,0
173,3,1,30.272590361445786,0
174,3,1,40.0,0
175,2,0,15.0,1
176,2,0,20.0,1
177,1,1,54.0,0
178,2,0,36.0,1
179,1,0,64.0,1
180,2,1,30.0,1
181,1,1,37.0,0
182,1,0,18.0,1
183,3,1,30.272590361445786,0
184,1,0,27.0,0
185,2,1,40.0,0
186,2,0,21.0,1
187,3,1,17.0,0
188,3,0,30.272590361445786,1
189,2,1,40.0,0
190,2,1,34.0,1
191,1,1,30.272590361445786,1
192,3,1,11.5,0
193,2,1,61.0,0
194,2,1,8.0,1
195,3,1,33.0,1
196,1,1,6.0,1
197,3,0,18.0,0
198,2,1,23.0,0
199,3,0,30.272590361445786,1
200,3,0,30.272590361445786,1
201,3,1,0.33,0
202,1,1,47.0,0
203,2,0,8.0,1
204,2,1,25.0,0
205,1,1,30.272590361445786,1
206,3,0,35.0,1
207,2,1,24.0,0
208,1,0,33.0,1
209,3,1,25.0,0
210,3,1,32.0,1
211,3,1,30.272590361445786,0
212,2,1,17.0,0
213,2,0,60.0,1
214,3,0,38.0,1
215,1,1,42.0,0
216,3,0,30.272590361445786,1
217,1,1,57.0,0
218,1,0,50.0,1
219,3,1,30.272590361445786,0
220,2,0,30.0,1
221,3,1,21.0,0
222,2,0,22.0,1
223,3,1,21.0,0
224,1,0,53.0,1
225,3,0,30.272590361445786,1
226,3,1,23.0,0
227,3,0,30.272590361445786,1
228,3,1,40.5,0
229,2,1,36.0,0
230,2,1,14.0,0
231,1,0,21.0,1
232,3,1,21.0,0
233,3,1,30.272590361445786,0
234,1,1,39.0,0
235,3,1,20.0,0
236,1,1,64.0,0
237,3,1,20.0,0
238,2,0,18.0,1
239,1,0,48.0,1
240,1,0,55.0,1
241,2,0,45.0,1
242,1,1,45.0,0
243,3,1,30.272590361445786,0
244,3,1,30.272590361445786,0
245,1,1,41.0,0
246,2,0,22.0,1
247,2,1,42.0,0
248,2,0,29.0,1
249,3,0,30.272590361445786,1
250,2,0,0.92,1
251,3,1,20.0,0
252,1,1,27.0,1
253,3,1,24.0,0
254,3,1,32.5,1
255,3,1,30.272590361445786,0
256,3,1,30.272590361445786,0
257,3,1,28.0,0
258,2,0,19.0,1
259,3,1,21.0,0
260,3,1,36.5,0
261,3,1,21.0,0
262,2,0,29.0,1
263,3,0,1.0,0
264,2,1,30.0,1
265,3,1,30.272590361445786,0
266,1,1,30.272590361445786,1
267,3,1,30.272590361445786,0
268,3,0,30.272590361445786,1
269,3,1,17.0,0
270,1,1,46.0,0
271,3,1,30.272590361445786,0
272,1,0,26.0,0
273,3,0,30.272590361445786,1
274,3,1,30.272590361445786,0
275,2,0,20.0,1
276,2,1,28.0,1
277,2,1,40.0,0
278,2,1,30.0,1
279,2,1,22.0,0
280,3,0,23.0,0
281,3,1,0.75,0
282,3,0,30.272590361445786,1
283,3,0,9.0,0
284,3,0,2.0,0
285,3,1,36.0,0
286,3,1,30.272590361445786,0
287,1,1,24.0,1
288,3,1,30.272590361445786,0
289,3,1,30.272590361445786,0
290,1,1,30.272590361445786,1
291,3,0,30.0,1
292,3,1,30.272590361445786,0
293,1,1,53.0,0
294,3,1,36.0,0
295,3,1,26.0,0
296,2,0,1.0,1
297,3,1,30.272590361445786,0
298,1,1,30.0,1
299,3,1,29.0,0
300,3,1,32.0,1
301,2,1,30.272590361445786,1
302,2,1,43.0,0
303,3,1,24.0,0
304,3,0,30.272590361445786,1
305,1,0,64.0,1
306,1,1,30.0,1
307,3,1,0.83,0
308,1,1,55.0,0
309,3,0,45.0,1
310,3,1,18.0,0
311,3,1,22.0,0
312,3,1,30.272590361445786,0
313,3,0,37.0,1
314,1,0,55.0,1
315,3,0,17.0,0
316,1,1,57.0,0
317,2,1,19.0,0
318,3,1,27.0,0
319,2,1,22.0,0
320,3,1,26.0,0
321,3,1,25.0,0
322,2,1,26.0,0
323,1,1,33.0,1
324,1,0,39.0,1
325,3,1,23.0,0
326,2,0,12.0,1
327,1,1,46.0,0
328,2,1,29.0,1
329,2,1,21.0,0
330,2,0,48.0,1
331,1,1,39.0,0
332,3,1,30.272590361445786,0
333,3,0,19.0,0
334,3,1,27.0,0
335,1,1,30.0,1
336,2,1,32.0,1
337,3,1,39.0,0
338,2,1,25.0,0
339,3,1,30.272590361445786,0
340,2,1,18.0,0
341,3,1,32.0,1
342,3,1,30.272590361445786,0
343,1,0,58.0,1
344,3,1,30.272590361445786,0
345,3,0,16.0,0
346,2,1,26.0,0
347,3,0,38.0,1
348,2,1,24.0,0
349,2,0,31.0,1
350,1,0,45.0,1
351,2,1,25.0,0
352,2,1,18.0,0
353,2,1,49.0,0
354,3,0,0.17,0
355,1,1,50.0,0
356,1,0,59.0,1
357,3,1,30.272590361445786,0
358,3,1,30.272590361445786,0
359,3,0,30.0,1
360,3,1,14.5,0
361,2,0,24.0,0
362,2,0,31.0,1
363,3,1,27.0,0
364,1,0,25.0,0
365,3,0,30.272590361445786,1
366,3,1,30.272590361445786,0
367,3,0,22.0,0
368,1,0,45.0,1
369,2,1,29.0,1
370,2,1,21.0,0
371,1,0,31.0,1
372,1,1,49.0,0
373,2,1,44.0,0
374,1,0,54.0,1
375,1,0,45.0,1
376,3,0,22.0,0
377,2,1,21.0,0
378,1,1,55.0,0
379,3,1,5.0,0
380,3,1,30.272590361445786,0
381,3,1,26.0,0
382,3,0,30.272590361445786,1
383,3,0,19.0,0
384,2,1,30.272590361445786,1
385,2,0,24.0,0
386,3,1,24.0,0
387,2,1,57.0,0
388,3,1,21.0,0
389,3,1,6.0,0
390,1,1,23.0,1
391,1,0,51.0,1
392,3,1,13.0,0
393,2,1,47.0,0
394,3,1,29.0,0
395,1,0,18.0,1
396,3,1,24.0,0
397,1,0,48.0,1
398,3,1,22.0,0
399,3,1,31.0,1
400,1,0,30.0,1
401,2,1,38.0,0
402,1,0,22.0,1
403,1,1,17.0,0
404,1,1,43.0,0
405,2,1,20.0,0
406,2,1,23.0,0
407,1,1,50.0,0
408,3,0,30.272590361445786,1
409,3,0,3.0,0
410,3,0,30.272590361445786,1
411,1,0,37.0,1
412,3,0,28.0,1
413,3,1,30.272590361445786,0
414,1,0,39.0,1
415,3,1,38.5,0
416,3,1,30.272590361445786,0
417,3,1,30.272590361445786,0
